,accuracy,precision,recall,f1,cm
Contain_Funny,0.7581351751356685,0.9660111158614793,0.5350778521105914,0.6886882310359279,"[[108456  94236]
 [  3816 198892]]"
Contain_NotFunny,0.4993833251110015,0.49967858637804224,0.9894174412408975,0.6640145419870075,"[[200547   2145]
 [200805   1903]]"
Contain_Funny_Negator,0.6890749876665022,0.9642835508062855,0.3926696662917135,0.5580809940013532,"[[ 79591 123101]
 [  2948 199760]]"
Contain_NotFunny_Negator,0.5002516033547114,0.5001168195262595,0.9926982811359106,0.6651394494745646,"[[201212   1480]
 [201118   1590]]"
