,accuracy,precision,recall,f1,cm
Contain_Funny,0.7679501726689689,0.9623541029941344,0.5576983798077871,0.7061642017147943,"[[113041  89651]
 [  4422 198286]]"
Contain_NotFunny,0.4995041933892452,0.49973955542484866,0.9892546326446037,0.664031699090456,"[[200514   2178]
 [200723   1985]]"
Contain_Funny_Negator,0.6959570794277257,0.9598254084030889,0.40900972904702704,0.5735941743206545,"[[ 82903 119789]
 [  3470 199238]]"
Contain_NotFunny_Negator,0.5003798717316231,0.500181481886616,0.9926144100408502,0.665177803932978,"[[201195   1497]
 [201049   1659]]"
