,accuracy,precision,recall,f1,cm
Contain_Funny,0.7385076467686236,0.8528911502551337,0.5764164347877568,0.6879141777972733,"[[116835  85857]
 [ 20152 182556]]"
Contain_NotFunny,0.49805624074987664,0.4990027562014533,0.9825350778521106,0.661863235137722,"[[199152   3540]
 [199948   2760]]"
Contain_Funny_Negator,0.6700567340897878,0.8370048790981002,0.422330432380163,0.5613955699834406,"[[ 85603 117089]
 [ 16670 186038]]"
Contain_NotFunny_Negator,0.4997804637395165,0.49987896091061323,0.9881988435656069,0.6639166441549316,"[[200300   2392]
 [200397   2311]]"
