,accuracy,precision,recall,f1,cm
average,0.9297237296497287,0.9626083477797039,0.8936344054074129,0.9268399157721741,"[[36093  4296]
 [ 1402 39289]]"
Contain_Funny,0.7601751356684756,0.9648024855747892,0.5381910916338607,0.6909518587390138,"[[21737 18652]
 [  793 39898]]"
RandomForest,0.8600764676862358,0.8497254599749542,0.8736041991631385,0.8614993957003162,"[[35284  5105]
 [ 6240 34451]]"
Fasttext,0.9560927479033053,0.9537491067688441,0.9583302384312561,0.9560341846564244,"[[38706  1683]
 [ 1877 38814]]"
